Date,Vendor,Plant Location,Category,Material Type,Defect Type,Defect,Total Defect Qty,Total Downtime Minutes
27/05/2018,Livepath,Barling,Logistics,Batteries,No Impact,Warped,465354,3993
20/05/2019,Mybuzz,Climax,Mechanicals,Film,Rejected,Seams,52526,3577
06/02/2019,Jetpulse,Ripton,Mechanicals,Composites,No Impact,Poor  Adhesion,608577,431
21/07/2019,Jaxworks,Jordan Valley,Mechanicals,Film,No Impact,Misc,585788,4807
10/04/2018,Realblab,Twin Rocks,Electrical,Carton,Rejected,Printing Defects,539926,2362
24/09/2019,Wordify,Charlevoix,Mechanicals,Raw Materials,Rejected,Damaged Secondary Packaging,189638,3437
15/10/2019,Oyoba,Henning,Electrical,Corrugate,No Impact,Poor Fit,312680,217
04/12/2018,Chatterbridge,Prescott,Mechanicals,Raw Materials,No Impact,Out of Spec,120216,948
30/06/2018,Vinder,Cottonwood,Packaging,Raw Materials,Rejected,Out of Spec,749896,2229
12/11/2018,Bubbletube,De Ruyter,Materials & Components,Raw Materials,No Impact,Out of Spec,658123,4385
13/11/2018,Fivebridge,Jordan Valley,Materials & Components,Glass,No Impact,Bad Bearings,439822,4910
29/03/2018,Jayo,Clarksville,Packaging,Corrugate,Impact,Gap Variation,187283,2563
24/06/2018,Shuffledrive,Charles City,Logistics,Corrugate,Impact,Too Stiff,584988,87
03/12/2018,Brightdog,Garwood,Mechanicals,Film,Rejected,Tension Issues,997786,1368
20/05/2019,Quamba,Barling,Packaging,Carton,Impact,Misc,737205,91
10/02/2018,Fatz,Chatham,Materials & Components,Electrolytes,No Impact,Wrong Shade of Color,304847,1935
02/09/2019,Blogtags,Chatham,Packaging,Film,Impact,No Bar Code,356601,36
04/02/2018,Topicblab,New Britain,Electrical,Carton,Rejected,Printing Defects,657898,1653
13/11/2018,Mybuzz,Chatham,Packaging,Corrugate,Impact,Bad Seams,411748,1764
18/06/2019,Devify,Jordan Valley,Packaging,Film,Rejected,Wrong Shade of Color,38496,2199
02/10/2018,Fiveclub,Chesaning,Materials & Components,Glass,No Impact,Bad Bearings,620698,4049
05/08/2019,Devshare,Chesaning,Mechanicals,Raw Materials,No Impact,Not Certified,788715,635
01/02/2018,Kayveo,Clarksville,Mechanicals,Raw Materials,No Impact,Inclomplete,992275,1020
15/01/2018,Demivee,De Ruyter,Packaging,Pump,Impact,Bad Fill,337439,1228
09/12/2018,Centimia,Garwood,Logistics,Corrugate,No Impact,Bad Seams,819325,4022
26/11/2019,Babbleopia,De Ruyter,Mechanicals,Raw Materials,No Impact,Not Certified,731302,496
03/06/2019,Jaxnation,Garwood,Logistics,Corrugate,Rejected,Scrap attached,581688,4482
15/10/2019,Agimba,Frazer,Mechanicals,Raw Materials,No Impact,Not Certified,846293,686
31/03/2019,Aivee,Florence,Packaging,Labels,Rejected,Misc,195546,420
15/06/2019,Mynte,June Lake,Materials & Components,Raw Materials,No Impact,Not Certified,507885,4629
19/04/2019,Flashspan,Climax,Logistics,Corrugate,Impact,Bad Seams,102061,225
24/10/2018,Eayo,Westside,Materials & Components,Drives,No Impact,Damaged in Transit,674010,1504
21/12/2018,Tagfeed,Riverside,Mechanicals,Raw Materials,Impact,Foreign Material,452891,2430
29/03/2018,Wordpedia,Florence,Packaging,Corrugate,Impact,Bad Seams,641501,2524
05/06/2018,Jaxspan,Bloomingdale,Packaging,Corrugate,Impact,Skewed,644279,1576
15/11/2018,Linklinks,Weaverville,Materials & Components,Raw Materials,No Impact,Foreign Material,22079,4910
26/04/2018,Innojam,Clay,Materials & Components,Raw Materials,No Impact,Integrity Failure,706206,2520
15/01/2019,Pixoboo,Chatham,Logistics,Labels,Impact,Sporadic Adhesive,374158,3954
28/09/2019,Yakitri,Reading,Logistics,Corrugate,Impact,Folding - Wrong Crease,342250,3772
02/04/2019,Blogtags,Savannah,Mechanicals,Raw Materials,No Impact,Wrong Spec Date,285533,2983
02/02/2018,Skynoodle,Riverside,Mechanicals,Composites,No Impact,Bad Tiles,155824,2554
18/06/2019,Kanoodle,Riverside,Logistics,Corrugate,Impact,Folding - Wrong Crease,993831,1762
24/09/2018,Dynava,Jordan Valley,Packaging,Hardware,Impact,No Screws,285363,4472
18/10/2018,Topicblab,Barling,Mechanicals,Raw Materials,No Impact,No Bar Code,488227,3350
01/10/2019,Yombu,Garwood,Logistics,Film,Rejected,Creases / Wrinkles,875817,1329
10/01/2018,Abatz,Garwood,Materials & Components,Glass,No Impact,Broken Glass,536580,4337
11/11/2019,Meeveo,Savannah,Packaging,Electrolytes,Impact,Short Walls,332152,4855
04/11/2018,Twitterworks,Barling,Packaging,Molds,Impact,Narrow Tops,131750,3070
30/11/2019,Rhynyx,Twin Rocks,Materials & Components,Glass,No Impact,Packaging Damaged,449356,1241
03/12/2019,JumpXS,Bruce Crossing,Packaging,Corrugate,Impact,Gap Variation,745350,3779
19/03/2018,Tagopia,Clarksville,Mechanicals,Controllers,Rejected,Mixed Product,920097,2434
11/03/2019,Yakidoo,Chatham,Mechanicals,Raw Materials,No Impact,Misc,801313,2163
01/09/2018,Jaxnation,Charlevoix,Logistics,Corrugate,Impact,Bad Seams,951823,2316
27/04/2018,Yodo,Ripton,Goods & Services,Raw Materials,No Impact,Foreign Material,397603,1715
06/01/2019,Kare,Cottonwood,Materials & Components,Raw Materials,No Impact,Inclomplete,452044,1972
11/08/2019,Twitterlist,Jordan Valley,Mechanicals,Raw Materials,Rejected,Matts,475994,1885
08/09/2018,Oloo,Hingham,Electrical,Corrugate,No Impact,Print defects,489052,2951
07/06/2019,Realmix,Garwood,Mechanicals,Raw Materials,No Impact,Out of Support,548245,4176
14/04/2019,Tagchat,Cottonwood,Logistics,Batteries,Rejected,Foreign objects found,19491,4767
28/04/2018,Centizu,Charlevoix,Mechanicals,Labels,No Impact,Wrong Core,667225,2536
19/08/2019,Babbleopia,Jordan Valley,Materials & Components,Labels,No Impact,Incorrect Material,406781,548
08/02/2019,Leenti,Clay,Mechanicals,Raw Materials,Rejected,Damaged Secondary Packaging,828424,1762
31/08/2019,Wikido,Middletown,Mechanicals,Raw Materials,Rejected,Damaged in Transit,478823,4918
07/08/2018,Dabtype,New Britain,Electrical,Carton,No Impact,Sealed Together Internally,224677,3989
25/11/2019,Gabvine,Chesaning,Mechanicals,Raw Materials,No Impact,Not Certified,121868,4399
03/10/2019,Vimbo,Middletown,Logistics,Corrugate,Impact,Wrong Fasteners,239134,561
25/02/2019,Yakidoo,Bruce Crossing,Logistics,Corrugate,Impact,Gap Variation,50966,785
12/10/2019,Skipfire,De Ruyter,Logistics,Corrugate,Impact,Poor Pairing,185385,4977
24/10/2018,Youopia,Henning,Mechanicals,Raw Materials,No Impact,Damaged in Transit,71168,4885
19/03/2018,Bubblebox,Savannah,Goods & Services,Raw Materials,No Impact,Incorrect Labeling,580848,3503
08/09/2019,Babblestorm,Ripton,Materials & Components,Electrolytes,Rejected,Deformed Parts,219463,1730
14/01/2019,Youopia,Henning,Mechanicals,Raw Materials,No Impact,Inclomplete,844401,1394
14/09/2019,Bubblebox,Twin Rocks,Electrical,Carton,No Impact,Printing Defects,341625,4879
09/09/2019,Meevee,Reading,Packaging,Carton,Impact,Cartons Not Opening,441654,1944
11/03/2018,Babbleset,Clarksville,Packaging,Carton,Impact,Unsealed Cartons,539320,1186
04/03/2018,Agimba,Reading,Materials & Components,Raw Materials,No Impact,No Sealing,133989,3317
03/09/2019,Fiveclub,Savannah,Logistics,Controllers,Rejected,Damaged,780138,768
21/07/2018,Oloo,Hingham,Materials & Components,Glass,Impact,Bad Finish,340677,1776
19/10/2019,Topiczoom,Chatham,Mechanicals,Raw Materials,No Impact,Not Certified,373208,3085
16/11/2018,Edgeblab,Weaverville,Logistics,Labels,Impact,Cut Box,331986,1616
11/03/2019,Zoombox,Charlevoix,Logistics,Labels,No Impact,Slitting Erorrs,2499,3929
27/04/2018,Reallinks,Jordan Valley,Logistics,Labels,Impact,Splice,297429,2331
04/03/2019,Wordtune,Middletown,Materials & Components,Film,Impact,Bad Film,763460,3877
02/04/2019,Wikibox,Charles City,Mechanicals,Raw Materials,No Impact,Out of Support,971971,1546
10/05/2019,Meevee,Westside,Mechanicals,Motors,No Impact,Other,285726,3465
19/07/2019,Tekfly,Clay,Packaging,Film,No Impact,Wrong Ink,632859,2981
15/10/2019,Oyondu,Charles City,Materials & Components,Raw Materials,No Impact,Bad Parameters,503269,4857
20/04/2018,Photospace,De Ruyter,Goods & Services,Corrugate,No Impact,Bad Seams,990175,3233
07/10/2019,Jazzy,De Ruyter,Materials & Components,Film,Rejected,Wrong Makeup,877442,3209
24/01/2018,Zazio,Waldoboro,Goods & Services,Corrugate,Rejected,Dirty Material,240024,1072
30/05/2019,Youspan,Ripton,Logistics,Film,Rejected,Incorrect Dimensions,21569,3991
30/07/2019,Meemm,De Ruyter,Materials & Components,Labels,No Impact,Wrong Label,89703,2619
02/10/2018,Devbug,Frazer,Materials & Components,Raw Materials,No Impact,No Slip Sheets,595344,507
19/11/2019,Meetz,Twin Rocks,Goods & Services,Corrugate,Rejected,Gap Variation,402193,1927
05/12/2018,Fiveclub,Westside,Mechanicals,Film,Impact,Film Not Sealing,550932,294
31/12/2019,Quamba,Chatham,Logistics,Electrolytes,Impact,Deformed Parts,918738,2755
19/08/2018,Yabox,Charles City,Electrical,Film,No Impact,Wrong Ink,474710,1832
23/09/2018,Photolist,Bloomingdale,Goods & Services,Raw Materials,Rejected,Foreign Material,878872,1278
15/12/2019,Janyx,Henning,Materials & Components,Electrolytes,Rejected,Crushed Sidewalls,525151,1014
23/10/2019,Flashset,Jordan Valley,Mechanicals,Raw Materials,No Impact,Bad Parameters,346507,2579
18/03/2019,Midel,Ripton,Logistics,Batteries,Impact,Tubs Stuck,117231,3595
26/08/2018,Talane,Bloomingdale,Electrical,Carton,Rejected,Printing Defects,182669,378
31/10/2018,Skynoodle,Ripton,Logistics,Corrugate,Rejected,Bad Seams,605414,267
30/03/2019,Meejo,Reading,Mechanicals,Carton,No Impact,Material Handling/ Shipping Requirements Error,827408,304
09/11/2019,Dynabox,June Lake,Mechanicals,Raw Materials,No Impact,Bad Parameters,692147,2758
06/07/2019,Feedfish,Florence,Materials & Components,Glass,No Impact,Misc,337705,3450
13/11/2019,Ozu,Chesaning,Materials & Components,Electrolytes,No Impact,Incorrect Dimensions,446783,3316
18/08/2019,Camido,Twin Rocks,Mechanicals,Raw Materials,Impact,Integrity Failure,231109,70
11/09/2019,Quimm,Bloomingdale,Goods & Services,Raw Materials,No Impact,Not Certified,63354,3763
12/10/2019,Tanoodle,Climax,Logistics,Corrugate,Impact,Errors in Packaging,879345,274
29/03/2019,Abatz,Ripton,Packaging,Corrugate,Impact,No Label,437958,932
10/12/2019,Tanoodle,Bloomingdale,Mechanicals,Raw Materials,Rejected,Out of Spec,664579,3079
22/12/2019,Kimia,Ripton,Logistics,Corrugate,Impact,No Shipment Info,823345,2587
10/09/2019,Rhybox,Florence,Materials & Components,Raw Materials,No Impact,Not Certified,95324,3729
18/09/2019,Jayo,Westside,Mechanicals,Raw Materials,No Impact,Not Certified,884120,2977
24/10/2018,Blogpad,Ripton,Materials & Components,Glass,Impact,Scratched Glass,552353,2609
16/02/2019,Dabshots,Henning,Packaging,Labels,Rejected,Bad Labels,706369,4865
13/09/2019,Babbleblab,Henning,Logistics,Batteries,Rejected,Bad Shots,966398,3388
28/01/2019,Gigaclub,Chatham,Materials & Components,Raw Materials,No Impact,Misc,822160,3516
19/10/2018,Buzzster,Chatham,Logistics,Electrolytes,Impact,Mixed Parts,800186,4907
23/03/2019,Feednation,Charlevoix,Goods & Services,Film,No Impact,Loose Core,939492,259
25/12/2019,Vitz,Reading,Logistics,Batteries,Impact,Tubs Stuck,812526,3782
08/11/2018,Devpoint,Reading,Mechanicals,Raw Materials,No Impact,Foreign Material,133617,1604
21/08/2018,Blogspan,Clay,Logistics,Corrugate,Impact,Weak Walls,647467,49
16/11/2019,Eimbee,Barling,Logistics,Batteries,Rejected,Bad Print,641702,3924
28/10/2019,Dynabox,Reading,Packaging,Labels,Rejected,Smeared Print,48309,39
12/07/2019,Tagchat,Clay,Packaging,Crates,Rejected,Out of Support,711400,2293
23/01/2019,Riffpath,Chesaning,Mechanicals,Labels,No Impact,Misc,792676,1938
11/01/2018,Oyope,De Ruyter,Goods & Services,Film,Rejected,Wrong Registration,360287,4852
27/10/2019,Yakijo,Riverside,Logistics,Corrugate,Impact,Cracked,334399,4624
02/09/2019,Vinder,Twin Rocks,Mechanicals,Raw Materials,No Impact,Not Certified,680860,4962
21/08/2018,Vipe,Reading,Logistics,Corrugate,No Impact,Delamination,892883,848
11/06/2018,Ailane,Reading,Logistics,Corrugate,Impact,Warping,341078,3049
25/12/2018,Cogilith,Riverside,Logistics,Batteries,Rejected,Bad Print,565075,4232
21/05/2019,Edgeify,Middletown,Logistics,Corrugate,Impact,Weak Walls,121537,4206
16/10/2019,Latz,Henning,Mechanicals,Raw Materials,No Impact,Not Certified,404295,890
21/12/2019,Devbug,June Lake,Logistics,Corrugate,Rejected,Poor Pairing,132600,4959
15/09/2019,Topicstorm,Waldoboro,Materials & Components,Raw Materials,No Impact,Misc,651530,2690
06/07/2019,Brainsphere,Twin Rocks,Mechanicals,Film,Rejected,Loose Core,782405,4735
17/09/2018,Linkbridge,Chesaning,Materials & Components,Raw Materials,Impact,Foreign Material,186260,3540
10/10/2018,Thoughtmix,Jordan Valley,Mechanicals,Raw Materials,No Impact,Inclomplete,655112,73
03/06/2018,Youopia,New Britain,Packaging,Molds,Rejected,Mixed Product,287354,3975
23/06/2019,Edgeify,Chatham,Logistics,Corrugate,No Impact,Poor Pairing,291185,3252
14/11/2019,Wordify,Chatham,Mechanicals,Raw Materials,No Impact,Integrity Failure,798451,988
17/06/2018,Babbleblab,Florence,Logistics,Corrugate,Impact,Gap Variation,788778,3044
21/02/2019,Livetube,Reading,Logistics,Corrugate,Rejected,Bad Seams,877055,1868
28/03/2018,Kare,New Britain,Mechanicals,Controllers,Rejected,Poor  Adhesion,639929,232
30/10/2019,Bubblebox,Bloomingdale,Packaging,Hardware,Rejected,Contamination,283794,3491
19/08/2018,Talane,Middletown,Electrical,Corrugate,Rejected,Warping,230310,3534
10/10/2018,Feedmix,Ripton,Mechanicals,Carton,Rejected,Printing Defects,463080,2859
01/10/2019,Twitternation,Jordan Valley,Mechanicals,Film,Rejected,No Adhesive,574896,139
07/09/2018,Demimbu,Twin Rocks,Mechanicals,Carton,Impact,Bowed/Warped,769378,1437
11/12/2019,Flashspan,Hingham,Logistics,Labels,Impact,Splice,543730,4060
27/03/2018,Fivespan,Riverside,Electrical,Carton,Rejected,Cracked,408132,530
21/08/2018,Voonder,Riverside,Materials & Components,Film,No Impact,Tension Issues,524443,2239
26/08/2019,Chatterbridge,Chesaning,Logistics,Corrugate,Impact,Delamination,973127,4451
17/01/2018,DabZ,Chesaning,Packaging,Corrugate,No Impact,Gap Variation,333212,2728
19/08/2019,Skyndu,Barling,Mechanicals,Raw Materials,No Impact,Out of Support,434092,959
10/09/2019,Zazio,Climax,Materials & Components,Glass,Rejected,Damaged in Transit,323289,3256
27/04/2019,Photobean,Savannah,Materials & Components,Glass,No Impact,Stones and Sand,225807,2200
23/01/2018,Jabberbean,Chesaning,Materials & Components,Glass,No Impact,Bad Bearings,55881,1276
04/03/2018,Skipfire,Charles City,Mechanicals,Composites,Rejected,Wrong Shape,24774,3915
03/10/2019,Rhyloo,Climax,Logistics,Film,Rejected,Film Not Intact,188127,3580
15/02/2019,Riffpath,Weaverville,Logistics,Corrugate,Rejected,Scrap attached,875234,4666
22/03/2019,Skinder,Charles City,Mechanicals,Film,Impact,Split Seams,71146,4283
15/10/2019,Realbridge,Frazer,Mechanicals,Raw Materials,No Impact,Not Certified,338663,3383
03/06/2019,Jamia,Cottonwood,Packaging,Corrugate,No Impact,Delamination,268364,3518
29/03/2018,Eazzy,Chesaning,Packaging,Labels,Impact,Wrong Registration,110931,3568
23/06/2019,Linklinks,Bloomingdale,Logistics,Controllers,Impact,Warped,364179,3062
01/03/2018,Dazzlesphere,Henning,Goods & Services,Carton,Impact,Bad Seams,127672,3154
15/11/2018,Voonix,Westside,Mechanicals,Raw Materials,Impact,Dirty Containers,473548,3977
11/03/2018,Midel,June Lake,Materials & Components,Raw Materials,No Impact,Inclomplete,806524,282
20/09/2019,Skaboo,Jordan Valley,Materials & Components,Raw Materials,No Impact,Not Certified,655397,1090
25/05/2019,Lazzy,Cottonwood,Goods & Services,Corrugate,Impact,Delamination,387884,974
02/09/2019,Meedoo,Prescott,Packaging,Raw Materials,Rejected,Integrity Failure,642195,2823
17/07/2018,Topiclounge,Bruce Crossing,Logistics,Corrugate,No Impact,Bad Seams,696874,4159
25/09/2018,Twitternation,Middletown,Goods & Services,Carton,Impact,Bad Carton Packaging,964878,2334
01/10/2019,Gigaclub,Barling,Materials & Components,Glass,Impact,Packaging Damaged,255035,2351
02/08/2019,Wikizz,Bloomingdale,Goods & Services,Corrugate,Impact,Warping,544650,669
02/06/2018,Buzzshare,Barling,Mechanicals,Raw Materials,No Impact,Foreign Material,493535,835
18/12/2018,Bluejam,Weaverville,Mechanicals,Raw Materials,No Impact,Out of Spec,608286,3819
16/09/2019,Browsebug,Ripton,Mechanicals,Film,Rejected,Damaged Rolls,567905,4407
22/03/2019,Meetz,Cottonwood,Mechanicals,Labels,No Impact,No Shipment Info,608738,4374
14/01/2018,Blognation,Bruce Crossing,Logistics,Corrugate,Impact,Weak Walls,670990,301
30/10/2019,Buzzshare,Hingham,Packaging,Corrugate,Impact,Poor Pairing,390425,374
02/09/2018,Blogpad,Henning,Materials & Components,Glass,No Impact,Bad Bearings,94886,565
08/06/2019,Thoughtstorm,Charlevoix,Logistics,Corrugate,Impact,False scores,719814,859
11/06/2019,Roombo,Jordan Valley,Mechanicals,Raw Materials,No Impact,Not Certified,484741,4952
03/10/2018,Fivespan,Bruce Crossing,Packaging,Carton,Rejected,Bad Cut,156326,1190
27/10/2019,Voonte,Reading,Logistics,Corrugate,Impact,Delamination,916568,3583
09/12/2018,Fivebridge,Prescott,Logistics,Labels,Impact,No Print,775785,682
24/09/2019,Dynabox,Chesaning,Mechanicals,Film,Impact,Loose Core,821524,949
31/05/2019,Einti,Chesaning,Packaging,Labels,Rejected,Misc,630468,4972
15/06/2018,Tagchat,Hingham,Logistics,Molds,Impact,Wrong Codes,218320,508
26/12/2018,Dynabox,Twin Rocks,Materials & Components,Raw Materials,No Impact,Integrity Failure,387523,4252
23/09/2019,Dazzlesphere,Charles City,Logistics,Raw Materials,No Impact,Bad Parameters,51926,1606
09/03/2019,Feedfire,Chatham,Packaging,Corrugate,Impact,Bad Seams,791839,1465
22/10/2018,Skiptube,Chesaning,Packaging,Hardware,Impact,No Fill,815948,3649
01/10/2019,Babbleset,Reading,Materials & Components,Corrugate,No Impact,Misaligned Slots,971334,34
25/05/2019,Youopia,Garwood,Mechanicals,Raw Materials,Rejected,Damaged in Transit,793737,2063
18/03/2019,Yotz,Riverside,Mechanicals,Raw Materials,Rejected,Wrong Shade of Color,901595,3591
25/12/2018,Rooxo,Clay,Logistics,Labels,Rejected,Too Much Chemicals,81637,1199
24/12/2018,Jatri,De Ruyter,Materials & Components,Raw Materials,Rejected,Out of Spec,436244,1835
30/05/2019,Skidoo,Westside,Logistics,Film,Rejected,Split Seams,554618,2094
28/04/2019,Centimia,New Britain,Mechanicals,Raw Materials,Rejected,Damaged in Transit,469477,2955
29/10/2019,Fatz,Savannah,Materials & Components,Corrugate,No Impact,Warping,622218,3417
04/11/2018,Vinte,Clarksville,Materials & Components,Glass,No Impact,Scratched Glass,172740,1843
21/10/2019,Nlounge,Climax,Logistics,Film,Rejected,Creases / Wrinkles,31325,2046
14/05/2019,Brainlounge,Charlevoix,Packaging,Corrugate,No Impact,Dimensions - Bad Finishing,306420,3588
22/04/2019,Gigaclub,Charles City,Mechanicals,Raw Materials,Impact,Matts,677094,4556
16/03/2019,Devshare,Garwood,Packaging,Molds,Impact,Parting Tops,45444,3420
11/12/2018,Thoughtbeat,Middletown,Mechanicals,Raw Materials,No Impact,No Tight Seal,183303,1351
10/12/2018,Zoombeat,Prescott,Mechanicals,Raw Materials,Rejected,Out of Spec,70088,1380
15/06/2019,Blogtag,Twin Rocks,Materials & Components,Raw Materials,No Impact,Damaged in Transit,147183,2636
26/01/2019,Tazzy,Clay,Mechanicals,Labels,Rejected,Film Not Sealing,521292,1279
14/02/2018,Twitterworks,Clarksville,Mechanicals,Controllers,No Impact,Wrong Tails,799626,599
21/06/2019,Topicstorm,New Britain,Packaging,Film,Impact,No Bar Code,564306,2621
06/01/2019,Eare,Cottonwood,Mechanicals,Corrugate,Rejected,False scores,567750,156
08/11/2018,Agivu,Westside,Mechanicals,Carton,Impact,Inside Scoring,538350,4785
30/10/2019,Trunyx,Henning,Packaging,Electrolytes,Impact,Damaged Secondary Packaging,501611,4901
21/03/2018,Flipstorm,Henning,Materials & Components,Raw Materials,No Impact,Missing Codes,594882,2533
21/05/2019,Mybuzz,Charlevoix,Packaging,Corrugate,Rejected,Misc,504170,3561
20/04/2018,Snaptags,Henning,Materials & Components,Corrugate,Impact,Bad Seams,40187,744
23/04/2019,Demivee,Clarksville,Goods & Services,Raw Materials,Rejected,Wrong material,98133,3726
03/06/2019,Jabbercube,Hingham,Materials & Components,Labels,Impact,Wrong Label,731182,259
21/08/2018,Abata,Clarksville,Logistics,Batteries,Impact,Warped,736225,2634
03/08/2019,Eidel,Henning,Materials & Components,Raw Materials,No Impact,Foreign Material,1835,946
12/11/2019,Vimbo,Waldoboro,Materials & Components,Corrugate,Impact,Scrap attached,669631,2438
29/10/2019,Youopia,Barling,Mechanicals,Raw Materials,No Impact,Bad Parameters,288742,4182
02/02/2018,Trilia,Middletown,Materials & Components,Raw Materials,No Impact,No Slip Sheets,999023,4977
21/03/2019,Wikibox,Twin Rocks,Logistics,Film,Rejected,Seams,851915,4270
19/03/2018,Kaymbo,Garwood,Logistics,Raw Materials,Rejected,Damaged in Transit,664766,1440
12/04/2019,Kimia,Garwood,Materials & Components,Raw Materials,No Impact,Foreign Material,128142,1026
19/08/2019,Meetz,Barling,Materials & Components,Labels,Impact,Insufficient Parts,111769,4821
02/10/2019,Agimba,Prescott,Electrical,Corrugate,Rejected,Warping,310952,4189
31/03/2019,Abata,Clay,Mechanicals,Raw Materials,Rejected,Incorrect Labeling,811305,2286
13/02/2019,Livetube,Climax,Electrical,Corrugate,No Impact,Delamination,122367,1590
18/12/2019,Babbleset,Charles City,Goods & Services,Corrugate,Rejected,Gaps,416559,791
07/12/2019,Quatz,Frazer,Mechanicals,Raw Materials,No Impact,Not Certified,471697,1050
23/11/2018,Aimbu,Frazer,Goods & Services,Raw Materials,Rejected,Out of Spec,895426,3333
21/06/2019,Tekfly,Prescott,Packaging,Film,Impact,Wrong Shade of Color,104016,2937
08/03/2018,Yotz,Riverside,Materials & Components,Glass,No Impact,Stones and Sand,33639,4853
04/05/2018,Mynte,Cottonwood,Packaging,Molds,No Impact,Packaging Integrity,510104,4486
22/12/2019,Gabspot,Climax,Mechanicals,Raw Materials,Impact,Integrity Failure,266971,138
07/07/2019,Abatz,Garwood,Mechanicals,Raw Materials,No Impact,Not Certified,12449,362
02/04/2019,Tagopia,Twin Rocks,Mechanicals,Raw Materials,No Impact,Not Certified,701235,2881
10/07/2018,Buzzshare,Bloomingdale,Logistics,Corrugate,Impact,Bad Seams,229691,3702
22/03/2018,JumpXS,Chesaning,Mechanicals,Raw Materials,Rejected,Wrong material,544476,2663
12/02/2019,Yambee,Charles City,Mechanicals,Raw Materials,No Impact,Inclomplete,40733,2972
07/07/2018,Skiptube,Bloomingdale,Goods & Services,Labels,Rejected,Tension Issues,192697,2061
21/10/2018,Thoughtbridge,Chatham,Mechanicals,Composites,No Impact,Wrong Case Labels,187664,999
22/09/2018,Innojam,Hingham,Packaging,Labels,Rejected,Wrong Ink,809506,1605
11/08/2018,Jaxnation,Frazer,Materials & Components,Glass,Impact,Damaged Secondary Packaging,662370,3463
05/04/2018,Eire,Charles City,Goods & Services,Labels,Impact,Roll Tension,294557,540
09/09/2019,Yamia,Charles City,Goods & Services,Corrugate,Rejected,Delamination,625185,1264
29/10/2018,Vipe,Savannah,Mechanicals,Controllers,Rejected,Scuffed Packaging,326387,984
28/11/2018,Dynava,Hingham,Mechanicals,Controllers,Rejected,Opened containers,688872,1856
22/02/2018,Youopia,Hingham,Mechanicals,Corrugate,Rejected,Material Handling/ Shipping Requirements Error,743095,2164
18/09/2018,Twitterbeat,Hingham,Logistics,Molds,No Impact,Wrong Parts,452479,757
